iter	Passed	Remaining
403	10747	15855
404	10773	15827
405	10799	15800
406	10828	15776
407	10856	15752
408	10883	15727
409	10910	15701
410	10937	15673
411	10963	15646
412	10991	15621
413	11018	15595
414	11042	15566
415	11069	15540
416	11095	15511
417	11122	15486
418	11148	15458
419	11173	15430
420	11204	15409
421	11231	15383
422	11257	15356
423	11284	15330
424	11309	15300
425	11335	15273
426	11360	15245
427	11385	15215
428	11412	15189
429	11440	15164
430	11465	15136
431	11491	15108
432	11517	15082
433	11541	15052
434	11567	15023
435	11593	14997
436	11619	14969
437	11644	14941
438	11670	14913
439	11694	14883
440	11720	14857
441	11747	14830
442	11775	14806
443	11803	14780
444	11830	14754
445	11856	14727
446	11882	14700
447	11908	14672
448	11936	14648
449	11965	14624
450	11990	14596
451	12016	14568
452	12043	14543
453	12070	14516
454	12096	14489
455	12122	14461
456	12148	14434
457	12174	14407
458	12199	14378
459	12224	14350
460	12251	14323
461	12276	14295
462	12302	14268
463	12331	14245
464	12361	14222
465	12386	14193
466	12411	14165
467	12437	14138
468	12463	14111
469	12490	14084
470	12517	14058
471	12547	14035
472	12573	14008
473	12598	13980
474	12622	13951
475	12649	13925
476	12676	13899
477	12701	13870
478	12728	13844
479	12757	13820
480	12783	13793
481	12806	13763
482	12831	13735
483	12859	13709
484	12886	13683
485	12912	13656
486	12938	13629
487	12964	13602
488	12993	13578
489	13024	13555
490	13050	13528
491	13076	13501
492	13103	13475
493	13130	13449
494	13156	13422
495	13183	13396
496	13210	13370
497	13236	13342
498	13264	13317
499	13291	13291
500	13317	13264
501	13344	13238
502	13373	13213
503	13398	13185
504	13422	13157
505	13449	13130
506	13475	13103
507	13501	13076
508	13528	13050
509	13555	13023
510	13582	12997
511	13608	12970
512	13635	12944
513	13662	12917
514	13691	12893
515	13718	12868
516	13745	12841
517	13769	12812
518	13794	12784
519	13821	12758
520	13847	12731
521	13871	12702
522	13898	12676
523	13923	12648
524	13950	12621
525	13976	12594
526	14003	12568
527	14029	12541
528	14054	12513
529	14081	12487
530	14106	12459
531	14132	12432
532	14156	12403
533	14185	12379
534	14210	12351
535	14235	12323
536	14262	12296
537	14287	12269
538	14311	12240
539	14338	12213
540	14365	12188
541	14391	12160
542	14417	12134
543	14443	12107
544	14469	12080
545	14494	12051
546	14519	12024
547	14546	11998
548	14574	11972
549	14602	11947
550	14628	11920
551	14654	11893
552	14680	11866
553	14705	11839
554	14731	11812
555	14756	11784
556	14782	11756
557	14808	11730
558	14836	11704
559	14864	11679
560	14892	11653
561	14916	11625
562	14943	11598
563	14970	11572
564	14997	11546
565	15022	11519
566	15048	11491
567	15077	11467
568	15106	11443
569	15132	11415
570	15157	11388
571	15186	11363
572	15211	11335
573	15237	11308
574	15261	11280
575	15286	11252
576	15310	11224
577	15338	11198
578	15363	11171
579	15389	11144
580	15417	11118
581	15443	11091
582	15467	11063
583	15492	11035
584	15518	11008
585	15545	10982
586	15573	10957
587	15599	10930
588	15624	10902
589	15650	10875
590	15675	10848
591	15702	10822
592	15728	10795
593	15755	10768
594	15780	10741
595	15806	10714
596	15834	10689
597	15859	10661
598	15887	10635
599	15914	10609
600	15939	10582
601	15966	10556
602	15990	10527
603	16017	10501
604	16043	10474
605	16070	10448
606	16096	10421
607	16125	10397
608	16153	10371
609	16180	10344
610	16207	10318
611	16233	10291
612	16259	10264
613	16285	10237
614	16310	10210
615	16336	10184
616	16362	10156
617	16389	10130
618	16415	10104
619	16443	10078
620	16471	10052
621	16499	10026
622	16526	10000
623	16553	9974
624	16578	9947
625	16607	9921
626	16633	9894
627	16656	9866
628	16683	9840
629	16708	9813
630	16735	9786
631	16765	9761
632	16792	9736
633	16819	9709
634	16845	9683
635	16872	9656
636	16897	9629
637	16924	9602
638	16951	9576
639	16979	9550
640	17006	9524
641	17041	9502
642	17066	9475
643	17092	9448
644	17118	9421
645	17153	9400
646	17181	9374
647	17207	9347
648	17233	9320
649	17258	9293
650	17284	9266
651	17310	9239
652	17337	9213
653	17362	9185
654	17387	9158
655	17415	9132
656	17441	9105
657	17466	9078
658	17492	9051
659	17520	9025
660	17547	8999
661	17576	8973
662	17601	8947
663	17627	8920
664	17650	8891
665	17676	8864
666	17704	8839
667	17730	8812
668	17755	8785
669	17780	8757
670	17805	8730
671	17832	8704
672	17857	8676
673	17881	8649
674	17906	8621
675	17930	8594
676	17955	8566
677	17981	8539
678	18008	8513
679	18033	8486
680	18060	8459
681	18085	8432
682	18112	8406
683	18138	8379
684	18165	8353
685	18192	8327
686	18217	8300
687	18246	8274
688	18271	8247
689	18297	8220
690	18324	8194
691	18350	8167
692	18375	8140
693	18400	8113
694	18429	8087
695	18454	8060
696	18483	8035
697	18509	8008
698	18536	7981
699	18560	7954
700	18587	7928
701	18614	7901
702	18638	7874
703	18664	7847
704	18690	7820
705	18718	7794
706	18745	7768
707	18771	7741
708	18797	7715
709	18822	7687
710	18847	7661
711	18875	7634
712	18902	7608
713	18928	7581
714	18956	7556
715	18982	7529
716	19010	7503
717	19036	7476
718	19064	7450
719	19089	7423
720	19116	7397
721	19142	7370
722	19167	7343
723	19193	7316
724	19219	7290
725	19248	7264
726	19273	7237
727	19303	7212
728	19330	7185
729	19358	7159
730	19384	7133
731	19410	7106
732	19436	7079
733	19461	7052
734	19485	7025
735	19511	6998
736	19538	6972
737	19564	6945
738	19590	6919
739	19616	6892
740	19645	6866
741	19672	6840
742	19700	6814
743	19724	6786
744	19750	6760
745	19774	6733
746	19799	6705
747	19826	6679
748	19853	6653
749	19879	6626
750	19906	6600
751	19933	6573
752	19959	6547
753	19987	6521
754	20015	6495
755	20040	6468
756	20065	6441
757	20092	6414
758	20119	6388
759	20146	6362
760	20172	6335
761	20197	6308
762	20224	6281
763	20248	6254
764	20274	6228
765	20301	6201
766	20330	6176
767	20357	6149
768	20383	6122
769	20410	6096
770	20436	6070
771	20463	6043
772	20491	6017
773	20517	5990
774	20543	5964
775	20569	5937
776	20596	5911
777	20623	5884
778	20649	5858
779	20676	5831
780	20703	5805
781	20728	5778
782	20754	5751
783	20779	5724
784	20804	5698
785	20830	5671
786	20857	5644
787	20881	5617
788	20907	5591
789	20931	5564
790	20957	5537
791	20982	5510
792	21009	5484
793	21035	5457
794	21061	5431
795	21088	5404
796	21117	5378
797	21143	5352
798	21167	5325
799	21193	5298
800	21221	5272
801	21249	5246
802	21272	5218
803	21300	5192
804	21324	5165
805	21352	5139
806	21381	5113
807	21407	5086
808	21434	5060
809	21460	5034
810	21489	5008
811	21514	4981
812	21539	4954
813	21565	4927
814	21591	4901
815	21619	4875
816	21649	4849
817	21675	4822
818	21701	4795
819	21726	4769
820	21753	4742
821	21782	4716
822	21806	4689
823	21833	4663
824	21858	4636
825	21886	4610
826	21912	4583
827	21938	4557
828	21965	4530
829	21993	4504
830	22018	4477
831	22044	4451
832	22071	4424
833	22095	4397
834	22121	4371
835	22145	4344
836	22173	4318
837	22199	4291
838	22226	4265
839	22250	4238
840	22274	4211
841	22301	4184
842	22327	4158
843	22354	4131
844	22380	4105
845	22407	4078
846	22436	4052
847	22462	4026
848	22488	3999
849	22515	3973
850	22543	3947
851	22568	3920
852	22593	3893
853	22618	3866
854	22643	3840
855	22669	3813
856	22696	3787
857	22723	3760
858	22751	3734
859	22778	3708
860	22806	3681
861	22834	3655
862	22860	3629
863	22885	3602
864	22913	3576
865	22940	3549
866	22969	3523
867	22996	3497
868	23022	3470
869	23048	3444
870	23073	3417
871	23097	3390
872	23122	3363
873	23148	3337
874	23174	3310
875	23202	3284
876	23228	3257
877	23254	3231
878	23282	3204
879	23308	3178
880	23333	3151
881	23360	3125
882	23385	3098
883	23411	3072
884	23436	3045
885	23460	3018
886	23488	2992
887	23514	2965
888	23542	2939
889	23568	2912
890	23594	2886
891	23619	2859
892	23645	2833
893	23670	2806
894	23695	2779
895	23722	2753
896	23748	2727
897	23774	2700
898	23800	2673
899	23827	2647
900	23855	2621
901	23881	2594
902	23907	2568
903	23934	2541
904	23961	2515
905	23985	2488
906	24010	2461
907	24037	2435
908	24066	2409
909	24091	2382
910	24120	2356
911	24147	2329
912	24175	2303
913	24201	2277
914	24224	2250
915	24250	2223
916	24276	2197
917	24302	2170
918	24328	2144
919	24355	2117
920	24381	2091
921	24407	2064
922	24432	2038
923	24459	2011
924	24485	1985
925	24512	1958
926	24539	1932
927	24565	1905
928	24593	1879
929	24618	1853
930	24647	1826
931	24673	1800
932	24700	1773
933	24727	1747
934	24751	1720
935	24775	1694
936	24801	1667
937	24829	1641
938	24856	1614
939	24882	1588
940	24908	1561
941	24933	1535
942	24958	1508
943	24984	1482
944	25010	1455
945	25037	1429
946	25063	1402
947	25090	1376
948	25116	1349
949	25145	1323
950	25171	1296
951	25199	1270
952	25226	1244
953	25251	1217
954	25279	1191
955	25306	1164
956	25330	1138
957	25355	1111
958	25380	1085
959	25405	1058
960	25432	1032
961	25458	1005
962	25485	979
963	25513	952
964	25538	926
965	25564	899
966	25592	873
967	25620	846
968	25646	820
969	25671	793
970	25697	767
971	25723	741
972	25749	714
973	25777	688
974	25804	661
975	25829	635
976	25857	608
977	25883	582
978	25910	555
979	25935	529
980	25961	502
981	25986	476
982	26013	449
983	26039	423
984	26065	396
985	26092	370
986	26120	344
987	26146	317
988	26170	291
989	26196	264
990	26222	238
991	26248	211
992	26273	185
993	26300	158
994	26326	132
995	26353	105
996	26380	79
997	26406	52
998	26434	26
999	26463	0
