iter	RMSE
134	0.4693122704
135	0.4680994134
136	0.4673736899
137	0.4665780557
138	0.4657569605
139	0.464747987
140	0.4641110073
141	0.4628766893
142	0.4621034037
143	0.4614354563
144	0.4599051736
145	0.4593041767
146	0.4583936714
147	0.4578958247
148	0.4573635128
149	0.4565908548
150	0.4560556751
151	0.455551385
152	0.4545254726
153	0.4532445697
154	0.4521457216
155	0.4512094173
156	0.4506815622
157	0.4498817021
158	0.4493053403
159	0.4487984232
160	0.4482252053
161	0.4475986365
162	0.4469774711
163	0.4463916835
164	0.4454341089
165	0.4447546734
166	0.4442093228
167	0.4434826469
168	0.4428455617
169	0.4420803089
170	0.4415001374
171	0.441043205
172	0.4405419533
173	0.4401523599
174	0.4391123227
175	0.4386612348
176	0.4379844542
177	0.4375586228
178	0.4370578225
179	0.4365003457
180	0.4361209299
181	0.4357137097
182	0.4351501267
183	0.4347353268
184	0.4342290335
185	0.4338237172
186	0.4332789098
187	0.4327125665
188	0.4320950277
189	0.4318118095
190	0.4311488921
191	0.4305068946
192	0.4299450937
193	0.4293553312
194	0.428895593
195	0.4285947947
196	0.4280761986
197	0.4275966073
198	0.4270681942
199	0.4265137947
200	0.4259935648
201	0.42554953
202	0.4250825322
203	0.4244921264
204	0.4241857556
205	0.4235943834
206	0.4232657037
207	0.4227526776
208	0.4223066445
209	0.4215768956
210	0.4209524013
211	0.4204169364
212	0.4201689362
213	0.419755191
214	0.4192587982
215	0.4188648289
216	0.4186008247
217	0.4181474688
218	0.4177427848
219	0.4168251002
220	0.4164279192
221	0.4160496203
222	0.4157117736
223	0.4153032031
224	0.4148745169
225	0.414406677
226	0.4140447531
227	0.4137765932
228	0.4133371492
229	0.4130818316
230	0.412709857
231	0.4123584832
232	0.4119191238
233	0.4115664161
234	0.4112756705
235	0.4109712167
236	0.4105152404
237	0.4101948633
238	0.4098992319
239	0.4094320251
240	0.408684219
241	0.4084193189
242	0.4079491483
243	0.4076921404
244	0.4073135653
245	0.4070225339
246	0.4065823784
247	0.4062340369
248	0.4057811993
249	0.4054876795
250	0.4052413645
251	0.4048396945
252	0.4044597846
253	0.4041344406
254	0.4037713873
255	0.4033394795
256	0.4030826499
257	0.4027903485
258	0.4025094352
259	0.4022435187
260	0.4019665129
261	0.4017156345
262	0.4014206405
263	0.4011108185
264	0.4007972416
265	0.4005108258
266	0.4001877395
267	0.3999595759
268	0.3997301874
269	0.3994285864
270	0.3989610256
271	0.3987089711
272	0.3984756661
273	0.3982310112
274	0.3978100086
275	0.3974340752
276	0.3970509296
277	0.3967406422
278	0.3964255624
279	0.3961860987
280	0.395840346
281	0.3953947506
282	0.3951978118
283	0.3948270232
284	0.3945434947
285	0.3943254777
286	0.3939672963
287	0.3937455433
288	0.3934230674
289	0.3932197875
290	0.392977436
291	0.3925668405
292	0.3922658518
293	0.3921162343
294	0.3918766255
295	0.3916103469
296	0.3912907423
297	0.3910315163
298	0.3906792626
299	0.3904687709
300	0.390233611
301	0.3899734822
302	0.389788324
303	0.3895186349
304	0.3892718579
305	0.3890717237
306	0.3887582818
307	0.3885384349
308	0.3882097128
309	0.3877943192
310	0.3874385082
311	0.3872386462
312	0.3870265617
313	0.3867871572
314	0.3865973149
315	0.3863973779
316	0.3861045988
317	0.3858928127
318	0.3856917045
319	0.3855013036
320	0.3852498328
321	0.3850377424
322	0.3847902948
323	0.3844337261
324	0.3842359584
325	0.3839052046
326	0.3836715332
327	0.3833869044
328	0.3831752945
329	0.3827680048
330	0.3825574819
331	0.3823941391
332	0.3821297718
333	0.3819596451
334	0.3817244814
335	0.3814079319
336	0.3812551334
337	0.3810587891
338	0.3808591296
339	0.3807124137
340	0.3804995215
341	0.3803489296
342	0.3801544585
343	0.3799134588
344	0.3797392703
345	0.379542428
346	0.3793862035
347	0.379170586
348	0.3788069565
349	0.3785971584
350	0.3784617533
351	0.3783096196
352	0.3780856069
353	0.3779093611
354	0.3777024467
355	0.3775237815
356	0.3773457023
357	0.3771527829
358	0.3768545347
359	0.3767350889
360	0.3765280625
361	0.3763748282
362	0.3762094093
363	0.3760317883
364	0.3758143372
365	0.3756173243
366	0.3753813358
367	0.3751882537
368	0.3750502345
369	0.3748728684
370	0.3747119278
371	0.3745073876
372	0.374317663
373	0.3741088708
374	0.3739453707
375	0.3737038394
376	0.3735948519
377	0.373287965
378	0.3730802435
379	0.3729660556
380	0.3728061907
381	0.372666528
382	0.3725733954
383	0.3723674039
384	0.372165956
385	0.3720454459
386	0.3718494056
387	0.371623766
388	0.3711913762
389	0.3709983899
390	0.3708600285
391	0.3707048946
392	0.370544022
393	0.3703191542
394	0.3702069537
395	0.3700194645
396	0.3697936645
397	0.3696461428
398	0.3695048674
399	0.3693381167
400	0.3691771498
401	0.3691002151
402	0.3689457846
403	0.3688093227
404	0.3686450834
405	0.3685159504
406	0.3683721261
407	0.368161472
408	0.3679182165
409	0.36785393
410	0.3677292825
411	0.3674352399
412	0.3672330319
413	0.3670860498
414	0.3669483873
415	0.3668360831
416	0.3667323506
417	0.3665672789
418	0.3664485707
419	0.3663088705
420	0.3661652771
421	0.3660517787
422	0.3659246773
423	0.3658072624
424	0.3656888486
425	0.3655251767
426	0.3654009191
427	0.3652436823
428	0.3650427422
429	0.3648765648
430	0.36469976
431	0.3645444748
432	0.3644262261
433	0.3643186045
434	0.3641676008
435	0.3639375839
436	0.363845077
437	0.3637100268
438	0.3635485808
439	0.3634175004
440	0.3632530759
441	0.36313461
442	0.3629923336
443	0.3627671133
444	0.3626259746
445	0.3625244054
446	0.3624357985
447	0.3623334806
448	0.3621740069
449	0.3619568537
450	0.361784933
451	0.3615737534
452	0.3615036469
453	0.3613245356
454	0.3611804831
455	0.3610921424
456	0.3609657332
457	0.3608135241
458	0.3606864814
459	0.3605686116
460	0.3605070865
461	0.3603832572
462	0.3602842252
463	0.3601731892
464	0.3600741515
465	0.3599629775
466	0.3598085066
467	0.3596464188
468	0.359537574
469	0.359449591
470	0.3591541263
471	0.3589942054
472	0.3588576498
473	0.3586375097
474	0.3584886333
475	0.3583797109
476	0.358246455
477	0.3581775868
478	0.3580198336
479	0.3579245857
480	0.3578509693
481	0.3577252648
482	0.3575782854
483	0.3574785576
484	0.3573406305
485	0.357260672
486	0.3571629666
487	0.3570959085
488	0.3569642964
489	0.3568213805
490	0.3567308732
491	0.356637937
492	0.3563828519
493	0.3563124857
494	0.356240842
495	0.3560899578
496	0.3559933815
497	0.3558597497
498	0.3557457013
499	0.3556727849
500	0.3555658958
501	0.3554776947
502	0.3553864757
503	0.3552171479
504	0.3551054268
505	0.3550188485
506	0.3548594445
507	0.3547538485
508	0.3546605895
509	0.3544913465
510	0.3543714868
511	0.3543017595
512	0.3542203648
513	0.3540965041
514	0.354008156
515	0.3539563195
516	0.3538629124
517	0.3537061381
518	0.3535963437
519	0.3535017269
520	0.3533907872
521	0.3533062483
522	0.3531655561
523	0.3530820384
524	0.3530308749
525	0.3529301181
526	0.3528332252
527	0.3527340301
528	0.3526691647
529	0.352594017
530	0.352458589
531	0.3523331992
532	0.3522656849
533	0.3522223733
534	0.3521493302
535	0.3520171247
536	0.3518516981
537	0.3517324904
538	0.3515903813
539	0.3515121438
540	0.3514128542
541	0.3512830407
542	0.3512164702
543	0.3511356694
544	0.3510368986
545	0.3509495212
546	0.3508265762
547	0.3507288184
548	0.3506455081
549	0.3505854189
550	0.350495319
551	0.3503956221
552	0.3502952424
553	0.3502017436
554	0.3501057332
555	0.3500175099
556	0.3499328897
557	0.3498200029
558	0.3497685021
559	0.3496884888
560	0.3495512617
561	0.3494752286
562	0.349383538
563	0.3493053905
564	0.3491993768
565	0.3491320735
566	0.3490499998
567	0.348884462
568	0.348828669
569	0.3486034097
570	0.3485311843
571	0.3483786312
572	0.3482745771
573	0.3480918341
574	0.348022396
575	0.3479623773
576	0.3479014945
577	0.3478047345
578	0.3477258852
579	0.3476191912
580	0.3475066319
581	0.3474514111
582	0.3473896596
583	0.3472836366
584	0.3472346742
585	0.3471731968
586	0.3470971374
587	0.3470445863
588	0.3469561426
589	0.3468755459
590	0.3468113729
591	0.3467161488
592	0.3466484927
593	0.3465877906
594	0.3465330383
595	0.3464946515
596	0.3464304994
597	0.346356893
598	0.3462990423
599	0.3462200498
600	0.3461219396
601	0.3460267835
602	0.3459199207
603	0.3458333037
604	0.3457807125
605	0.3457025218
606	0.3455987525
607	0.3455118472
608	0.3454548248
609	0.345334315
610	0.3452343664
611	0.3451748262
612	0.3451211721
613	0.3450538269
614	0.3449669382
615	0.3448704651
616	0.3447461536
617	0.3446477427
618	0.3445691425
619	0.3445028862
620	0.3444343238
621	0.3443993339
622	0.3442897529
623	0.3441129332
624	0.3440408803
625	0.3439775007
626	0.3439190897
627	0.343838401
628	0.3437754605
629	0.3436782128
630	0.3436031446
631	0.3434350905
632	0.3433405386
633	0.3432678353
634	0.343217445
635	0.3431260246
636	0.3429982236
637	0.3428732754
638	0.3428101631
639	0.3427199625
640	0.3426381806
641	0.3425666987
642	0.3425058733
643	0.34243539
644	0.342346857
645	0.3422723426
646	0.3421764034
647	0.3421165544
648	0.3420617178
649	0.3419917439
650	0.3419324002
651	0.3418600128
652	0.3417961233
653	0.3417455512
654	0.3416844995
655	0.3415859431
656	0.3414953351
657	0.3414197128
658	0.3413647835
659	0.3412840682
660	0.3411798265
661	0.3411335249
662	0.3410927967
663	0.3409866488
664	0.3409161859
665	0.3408523216
666	0.3407836652
667	0.340741748
668	0.3406594815
669	0.340616781
670	0.3404911069
671	0.3404067562
672	0.3403562773
673	0.3403034917
674	0.3402534562
675	0.3401886177
676	0.3400981512
677	0.3400151631
678	0.3399535737
679	0.33988979
680	0.3398357855
681	0.3397983055
682	0.3397378005
683	0.3396826303
684	0.3396201811
685	0.3395513612
686	0.3394925475
687	0.3394079163
688	0.3393352146
689	0.3392702483
690	0.3391919666
691	0.339149464
692	0.3390634365
693	0.3389865829
694	0.3389064912
695	0.338824824
696	0.3387626761
697	0.33868394
698	0.3386440274
699	0.3385877392
700	0.3385130319
701	0.3384601287
702	0.3383416054
703	0.3382749798
704	0.3382002369
705	0.3381519424
706	0.3380827572
707	0.338037911
708	0.3379856445
709	0.3379155841
710	0.3378618098
711	0.3377794637
712	0.3377026388
713	0.3376335072
714	0.3375786384
715	0.3375253315
716	0.3374426708
717	0.3373858455
718	0.3373403044
719	0.3372773788
720	0.3371934566
721	0.3371454332
722	0.337085519
723	0.3370272803
724	0.3369594468
725	0.3368661323
726	0.3368273924
727	0.3367695851
728	0.336686989
729	0.3366245524
730	0.3365502463
731	0.3364831769
732	0.3363527573
733	0.336303693
734	0.3362311373
735	0.3361746767
736	0.3361117399
737	0.3360612627
738	0.3360001354
739	0.3359471509
740	0.3359071187
741	0.3358432039
742	0.3357719633
743	0.3357042618
744	0.3356578529
745	0.3356061054
746	0.3355493432
747	0.3355245281
748	0.3354282449
749	0.3353904925
750	0.3353308635
751	0.3352498366
752	0.3351946428
753	0.3351265486
754	0.3350870694
755	0.3350342493
756	0.3349899901
757	0.3349347116
758	0.3348941077
759	0.3348502814
760	0.3348202737
761	0.3347314544
762	0.334692515
763	0.3345848187
764	0.3345614543
765	0.3345041802
766	0.3344736507
767	0.3344042511
768	0.334347434
769	0.3342979693
770	0.3342576897
771	0.3341964796
772	0.3341508561
773	0.3340919477
774	0.3340252069
775	0.3339715804
776	0.3338993012
777	0.3338398856
778	0.3338013301
779	0.3337675986
780	0.333739953
781	0.333713578
782	0.3336333151
783	0.3336129167
784	0.3335817207
785	0.3335376113
786	0.3335100984
787	0.3334038413
788	0.3333500249
789	0.3332997894
790	0.3332368192
791	0.3332069471
792	0.3331736418
793	0.3331030716
794	0.3330402171
795	0.3329918852
796	0.3329668201
797	0.3328815398
798	0.3328566105
799	0.3328023764
800	0.3327420291
801	0.3326980197
802	0.3326209197
803	0.3325443805
804	0.3324767857
805	0.3324275838
806	0.3323971989
807	0.3323456394
808	0.3322949805
809	0.3322398577
810	0.3321778909
811	0.3321094898
812	0.3320596054
813	0.3320230421
814	0.3319704235
815	0.3319249696
816	0.3318943864
817	0.3318322684
818	0.331777615
819	0.3317125269
820	0.3316663645
821	0.3316242597
822	0.3315669537
823	0.3315347597
824	0.3314481436
825	0.3314232024
826	0.3313464968
827	0.3312964594
828	0.3312485557
829	0.3311821921
830	0.3311427493
831	0.3310953438
832	0.3310554636
833	0.3310198539
834	0.3309437814
835	0.3308874046
836	0.3308268467
837	0.3307676626
838	0.3307294394
839	0.3306892384
840	0.3306304264
841	0.3305521347
842	0.3305024146
843	0.3304576026
844	0.3303875076
845	0.3303036976
846	0.3302648975
847	0.3302051357
848	0.3301599237
849	0.3300992904
850	0.3300601239
851	0.3299939273
852	0.3299435439
853	0.3298848971
854	0.3298584308
855	0.329809296
856	0.3297670695
857	0.329687743
858	0.3296241536
859	0.3295731602
860	0.329523113
861	0.3294763445
862	0.3294063573
863	0.3293550189
864	0.3293165988
865	0.3292878369
866	0.329215919
867	0.3291848133
868	0.3291544601
869	0.3290974461
870	0.3290737439
871	0.3290267239
872	0.3289975285
873	0.3289466135
874	0.3288920596
875	0.3288132498
876	0.3287588245
877	0.3287156286
878	0.3286383027
879	0.3285706202
880	0.3285254905
881	0.3284689139
882	0.3284172962
883	0.3283914406
884	0.3283519934
885	0.3283102611
886	0.3282775507
887	0.328241159
888	0.3282076597
889	0.3281585532
890	0.3281191697
891	0.3280717763
892	0.328007672
893	0.3279614847
894	0.327903097
895	0.3278576313
896	0.327793064
897	0.3277537139
898	0.3277073997
899	0.3276425969
900	0.3276017976
901	0.3275651862
902	0.3275339362
903	0.3274830752
904	0.3274475353
905	0.3273835192
906	0.3273309295
907	0.3272983448
908	0.3272535747
909	0.3271990572
910	0.3271557616
911	0.3271079982
912	0.3270676363
913	0.3270345376
914	0.3269970796
915	0.3269626778
916	0.3269124329
917	0.3268746113
918	0.3267840722
919	0.3267323379
920	0.3266666533
921	0.3266255686
922	0.3265881103
923	0.3265465243
924	0.3265182196
925	0.3264584562
926	0.3264233634
927	0.3263910046
928	0.3263413881
929	0.3263103506
930	0.3262895958
931	0.3262438981
932	0.3262231106
933	0.3261786744
934	0.3261388147
935	0.3261028861
936	0.3260671493
937	0.325994488
938	0.3259587996
939	0.325940295
940	0.3259148727
941	0.3258800121
942	0.3258572025
943	0.3258176192
944	0.3257815624
945	0.3257366881
946	0.3257111282
947	0.3256655956
948	0.3256223287
949	0.3255927975
950	0.3255686221
951	0.3255216578
952	0.325486446
953	0.3254273807
954	0.3254017607
955	0.325364873
956	0.3253203541
957	0.3252720019
958	0.3251871039
959	0.3251209236
960	0.3251044417
961	0.3250611358
962	0.3250248161
963	0.3249807958
964	0.3249175385
965	0.3248827087
966	0.3248494876
967	0.3247949564
968	0.3247652838
969	0.3247097781
970	0.3246638405
971	0.3246105507
972	0.3245836835
973	0.3245439554
974	0.3244917618
975	0.3244417479
976	0.3243918944
977	0.3243637409
978	0.3243012627
979	0.3242563976
980	0.3242250073
981	0.3241936931
982	0.3241743599
983	0.3241330824
984	0.3240869109
985	0.3240432574
986	0.3240197426
987	0.3239790081
988	0.3239595744
989	0.3239175389
990	0.3238871005
991	0.323856194
992	0.3238185572
993	0.3237744567
994	0.3237344616
995	0.323694239
996	0.32367766
997	0.3236552607
998	0.3236207196
999	0.3235569219
